"Search Parameters"	"Location Name"	"Latitude"	"Longitude"	"Deaths"
	"ECUADOR:  COTOPAXI, PASTAZA, TUNGURAHUA, AMBATO"	-1.036	-78.737	27
	"CHINA:  S. XINJIANG:   ARTUX, JIASHI, BACHU, KASHI"	39.993	76.696	24
	"INDONESIA:  NEW GUINEA:  IRIAN JAYA:  BIAK, SUPIORI"	-0.891	136.952	54
	"CHINA:  YUNNAN PROVINCE:  LIJIANG"	27.291	100.276	322
	"EGYPT:  NUWAYBI; SAUDI ARABIA; ISRAEL; JORDAN"	28.826	34.799	11
	"CHINA:  YUNNAN PROVINCE:  WUDING"	26.003	102.227	81
	"MEXICO:  JALISCO, MANZANILLO, SAN PATRICIO MELAQUE"	19.055	-104.205	49
	"INDONESIA:  SUMATERA, JAMBI PROVINCE"	-2.045	101.436	84
	"TURKEY:   DINAR, EVCILER"	38.063	30.134	95
	"CHINA:  GANSU, YONGDENG, BAIYIN, DINGXI, JINGTAI"	36.427	103.123	14
	"CHINA: YUNNAN PROVINCE: LANCANG, MENGLIAN; THAILAND"	21.966	99.196	11
	"GREECE:  AIYION, ERATINI"	38.401	22.283	26
	"RUSSIA:  SAKHALIN IS:  NEFTEGORSK, OKHA, MOSKALVO"	52.629	142.827	1989
	"COLOMBIA:  CALI, PEREIRA, ARMENIA, CALARCA"	4.104	-76.622	45
	"JAPAN:  SW HONSHU:  KOBE, AWAJI-SHIMA, NISHINOMIYA"	34.583	135.018	5502
	"PHILIPPINES:  MINDORO"	13.525	121.067	81
	"RUSSIA:  KURIL ISLANDS; JAPAN:  HOKKAIDO"	43.773	147.321	11
	"ALGERIA:  MASCARA"	35.52	-0.106	171
	"COLOMBIA:  CAUCA, HUILA"	2.917	-76.057	650
	"AFGHANISTAN:  HINDU KUSH:  TASHIAK, TERMIZ"	36.901	67.163	160
	"INDONESIA:  SOUTHERN SUMATERA, LIWA, LAMPUNG"	-4.967	104.302	207
	"CALIFORNIA:  NORTHRIDGE"	34.213	-118.537	60
	"PAPUA NEW GUINEA:  EASTERN:  UPPER MARKHAM VALLEY"	-5.889	146.02	60
	"INDIA:  LATUR-OSMANABAD, KILLARI"	18.066	76.451	11000
	"JAPAN:  HOKKAIDO; RUSSIA:  SOUTHEAST; SOUTH KOREA"	42.851	139.197	23
	"IRAN:  BOVIR AHMADI VA KOHKILUYEH"	30.149	50.814	24
	"INDONESIA:  FLORES REGION, MAUMERE, BABI"	-8.48	121.896	1000
	"COLOMBIA:  MURINDO, APARTADO, MEDELLIN"	7.075	-76.862	11
	"EGYPT:  CAIRO"	29.778	31.144	545
	"KYRGYZSTAN:  TOLUK"	42.142	73.575	75
	"PAKISTAN:  PESHAWAR, KOHAT, SHAKKAR KHEL"	33.377	71.317	36
	"TURKEY:  ERZINCAN"	39.71	39.605	653
	"YEMEN:  WESTERN  ARABIAN PENINSULA"	13.887	44.068	11
